pair_idx,fp_size,num_collisions,tanimoto_exact,tanimoto_compressed,tanimoto_compressed_difference
126,1024,2,0.2381,0.2500,0.0119
126,2048,1,0.2381,0.2381,0.0000
126,4096,0,0.2381,0.2381,0.0000
127,512,2,0.1391,0.1593,0.0202
127,1024,1,0.1391,0.1491,0.0100
127,2048,0,0.1391,0.1391,0.0000
127,4096,0,0.1391,0.1391,0.0000
128,512,3,0.1818,0.2053,0.0235
128,1024,2,0.1818,0.1974,0.0156
128,2048,2,0.1818,0.1974,0.0156
128,4096,2,0.1818,0.1974,0.0156
129,512,0,0.1507,0.1507,0.0000
129,1024,0,0.1507,0.1507,0.0000
129,2048,0,0.1507,0.1507,0.0000
129,4096,0,0.1507,0.1507,0.0000
130,512,5,0.1172,0.1721,0.0549
130,1024,3,0.1172,0.1440,0.0268
130,2048,2,0.1172,0.1349,0.0177
130,4096,1,0.1172,0.1260,0.0088
131,512,4,0.1484,0.1676,0.0192
131,1024,4,0.1484,0.1676,0.0192
131,2048,2,0.1484,0.1611,0.0128
131,4096,0,0.1484,0.1484,0.0000
132,512,3,0.1705,0.1890,0.0184
132,1024,3,0.1705,0.1890,0.0184
132,2048,2,0.1705,0.1797,0.0091
132,4096,0,0.1705,0.1705,0.0000
133,512,3,0.1156,0.1389,0.0232
133,1024,2,0.1156,0.1310,0.0154
133,2048,1,0.1156,0.1233,0.0076
133,4096,0,0.1156,0.1156,0.0000
134,512,8,0.1558,0.2027,0.0469
134,1024,4,0.1558,0.1867,0.0308
134,2048,3,0.1558,0.1788,0.0230
134,4096,1,0.1558,0.1634,0.0076
135,512,5,0.1359,0.1939,0.0580
135,1024,3,0.1359,0.1700,0.0341
135,2048,1,0.1359,0.1471,0.0111
135,4096,0,0.1359,0.1359,0.0000
136,512,5,0.1579,0.1892,0.0313
136,1024,3,0.1579,0.1786,0.0207
136,2048,2,0.1579,0.1786,0.0207
136,4096,1,0.1579,0.1681,0.0102
137,512,1,0.1505,0.1630,0.0125
137,1024,1,0.1505,0.1630,0.0125
137,2048,0,0.1505,0.1505,0.0000
137,4096,0,0.1505,0.1505,0.0000
138,512,7,0.3185,0.3588,0.0403
138,1024,5,0.3185,0.3485,0.0300
138,2048,3,0.3185,0.3284,0.0098
138,4096,0,0.3185,0.3185,0.0000
139,512,3,0.0833,0.0986,0.0153
139,1024,2,0.0833,0.0909,0.0076
139,2048,0,0.0833,0.0833,0.0000
139,4096,0,0.0833,0.0833,0.0000
140,512,11,0.1918,0.2429,0.0511
140,1024,8,0.1918,0.2254,0.0336
140,2048,6,0.1918,0.2083,0.0166
140,4096,1,0.1918,0.2000,0.0082
141,512,3,0.2123,0.2292,0.0168
141,1024,0,0.2123,0.2123,0.0000
141,2048,0,0.2123,0.2123,0.0000
